Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
BRENTA JACKET W,Brenta Rds Dwn W Jkt 27884,"15,390.00ден",,"Полнета Јакна / Монтка со капуљача
Ветероодбивна и водоодбивна
Полнење: Пердув",https://www.scout.mk/wp-content/uploads/2022/10/27884-1570-600x600.jpg,"['38', '40', '40', '40']","['black', 'blue', 'blue', 'red']",https://www.scout.mk/product/brenta-rds-dwn-w-jkt-27884/
Capitan Ts Ss W MIV9767,Capitan Ts Ss W MIV9767,,,"Лесна, тенка и удобна маица 100% органски памук",https://www.scout.mk/wp-content/uploads/2023/03/MIV9767_7317_C3E_0.webp-600x600.png,[],[],https://www.scout.mk/product/capitan-ts-ss-w-miv9767/
CLASSIC CHECK LS SHIRT,Classic Check Ls Shirt W 62930,"6,190.00ден","6,190.00ден","Кошула
изработена од органски памук",https://www.scout.mk/wp-content/uploads/2022/11/62930_495-600x600.jpg,['l'],['green'],https://www.scout.mk/product/classic-check-ls-shirt-w-62930/
Compass T-Shirt Q31,Compass T-Shirt Q31,"3,690.00ден",,Мултифункционална стреч маица со дополнителна заштита од триење на ранецот дишлива и лесна,https://www.scout.mk/wp-content/uploads/2024/03/Q31323322-600x600.jpg,"['l', 'm']","['red', 'turquoise']",https://www.scout.mk/product/compass-t-shirt-q31/
CONNIE V,CONNIE V,"3,690.00ден",,Женски поларен блејзер,https://www.scout.mk/wp-content/uploads/2025/02/RWL209_3G2_P_A-1-600x600.jpg,"['10', '10', '12', '12', '14', '14', '16']","['navy', 'navy', 'navy', 'navy', 'violet', 'violet', 'violet']",https://www.scout.mk/product/connie-v/
Convey Tour HS Hooded Jacket Women 1010-27851,Convey Tour HS Hooded Jacket Women 1010-27851,,,"Хардшел Jакна со GORE-TEX® 2.5 L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 28.000 mm
Дишливост: ret < 9m²pa.w",https://www.scout.mk/wp-content/uploads/2022/12/1010-27851-3492_main-600x600.png,[],[],https://www.scout.mk/product/convey-tour-hs-hooded-jacket-women-1010-27851/
CORINNE IV W,Не е достапно,"4,890.00ден",,"Хардшел Jакна
Водоотпорна и ветероотпорна
Водоотпорност: 5.000 mm
Дишливост: 5.000 > g/m²/24h
Поставена со мрежа",https://www.scout.mk/wp-content/uploads/2024/08/Web-700x700-RWW304_F1N_P_1.jpg,"['10', '10', '10', '10', '10', '12', '12', '12', '12', '14', '14', '14', '14', '16', '16', '16', '18']","['blue', 'blue', 'blue', 'blue', 'orange', 'pink', 'pink', 'pink', 'pink', 'sky', 'sky', 'sky', 'sky', 'sky', 'violet', 'violet', 'violet']",https://www.scout.mk/product/corinne-iv-w-rww304-2/
CORIVER W,WomensCoriver W RWP410,,,3/1 Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RWP410-14M.jpg,[],[],https://www.scout.mk/product/womenscoriver-w-rwp410/
Crosstrail Graphic T W 1807213,Crosstrail Graphic T W 1807213,"2,490.00ден","2,490.00ден","Мултифункционална техничка маица, изработена од вештачки брзосушечки материјал за поудобни спортски ативности",https://www.scout.mk/wp-content/uploads/2023/07/1807213_2184_A020-600x600.png,"['s', 'xs']","['orange', 'orange']",https://www.scout.mk/product/crosstrail-graphic-t-w-1807213/
DAYHIKE TRS IV W,Dayhike Trs IV W RWJ271,"5,290.00ден",,"Панталони
Водоодбивни и ветероотпорни
Изработени од многу дишлив (10.000g/m2/24hrs) и стреч материјал",https://www.scout.mk/wp-content/uploads/2023/12/RWJ271_800_P_A-600x600.jpg,"['12', '14', '16']","['black', 'black', 'black']",https://www.scout.mk/product/dayhike-trs-iv-w-rwj271/
