Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
Kid Jacket Fix Hood 3A00094,Kid Jacket Fix Hood 3A00094,,,"Водоотпорна Софтшел Јакна
Изработена од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 1.000mm",https://www.scout.mk/wp-content/uploads/2024/02/3A00094_00LP_A-7-600x600.png,[],[],https://www.scout.mk/product/kid-jacket-fix-hood-3a00094/
Kid Jacket Fix Hood 3H60844,Kid Jacket Fix Hood 3H60844,"3,490.00ден",,"Плетен Флис
Високо дишлив и топол",https://www.scout.mk/wp-content/uploads/2024/02/3H60844_09EP_A-6-600x600.png,"['110', '116', '128', '140', '152', '152', '164', '164']","['blue', 'blue', 'blue', 'lime', 'lime', 'lime', 'lime', 'lime']",https://www.scout.mk/product/kid-jacket-fix-hood-3h60844/
KID JACKET RAIN FIX HOOD,KID JACKET RAIN FIX HOOD,"1,890.00ден",,Детска водоотпорна и ветеротпорна јакна со прилагодливи ракави,https://www.scout.mk/wp-content/uploads/2025/02/31X7295_09YN_A-3.png,"['128', '140', '152']","['blue', 'blue', 'blue']",https://www.scout.mk/product/kid-jacket-rain-fix-hood/
KID JACKET RAIN FIX HOOD 32X5804,KID JACKET RAIN FIX HOOD 32X5804,"2,790.00ден","2,790.00ден",Детска кабаница со капуљача,https://www.scout.mk/wp-content/uploads/2023/11/32X5804_M879_A-600x600.png,['140'],['blue'],https://www.scout.mk/product/kid-jacket-rain-fix-hood-32x5804/
KID LONG PANT,KID LONG PANT,"3,090.00ден","3,090.00ден","Детски спортски панталони
Водоотпорни и ветероотпорни",https://www.scout.mk/wp-content/uploads/2025/02/3A01484.jpg,"['104', '110', '116', '128', '140', '152']","['grey', 'grey', 'grey', 'grey', 'grey', 'grey']",https://www.scout.mk/product/kid-long-pant/
Kid Long Pant 3A01484,Kid Long Pant 3A01484,"3,090.00ден",,"Водоотпорни Софтшел Панталони
Изработени од средно дебел софтшел материјал
Водоотпорност: 7.000mm
Дишливост: 1.000mm",https://www.scout.mk/wp-content/uploads/2022/12/3A01484_U423_A-600x600.png,"['104', '110', '116', '128', '152']","['grey', 'grey', 'grey', 'grey', 'grey']",https://www.scout.mk/product/kid-long-pant-3a01484/
KID SWEAT 3G28134,KID SWEAT 3G28134,"1,290.00ден",,Детски полар,https://www.scout.mk/wp-content/uploads/2023/11/3G28134_C704_A-600x600.png,"['104', '104', '110', '116', '116', '140']","['blue', 'blue', 'lime', 'lime', 'lime', 'orange']",https://www.scout.mk/product/kid-sweat-3g28134/
Kid T-Shirt 38T6744,Kid T-Shirt 38T6744,990.00ден,,Детска техничка маичка со кратки ракави,https://www.scout.mk/wp-content/uploads/2024/04/38T6744_C550_A.png,"['104', '116', '140', '164', '98']","['orange', 'orange', 'orange', 'orange', 'orange']",https://www.scout.mk/product/kid-t-shirt-38t6744/
Kid Zip Off Pant 3T51644,Не е достапно,"2,790.00ден",,"2во1 Панталони (Зип-Оф), четиринасочно растегливи, со патент се претвораат во бермуди",https://www.scout.mk/wp-content/uploads/2024/04/3T51644_U423_A.png,"['116', '152']","['grey', 'grey']",https://www.scout.mk/product/kid-zip-off-pant-3t51644-2/
Kids Companero Cap 1900741,Kids Companero Cap 1900741,990.00ден,990.00ден,"Капа
Изработена од 100% рециклиран материјал",https://www.scout.mk/wp-content/uploads/2021/05/1900741-1033-9-A260-kids-companero-cap-night-blue-600x600.png,['m'],['navy'],https://www.scout.mk/product/kids-companero-cap-1900741/
Kids Hiking Stripe Classic Cut 1908571,Kids Hiking Stripe Classic Cut 1908571,790.00ден,,Детски чорапи за пешачење со добро амортизирање,https://www.scout.mk/wp-content/uploads/2022/10/1908571_1024_A300-600x600.png,['31-33'],['navy'],https://www.scout.mk/product/kids-hiking-stripe-classic-cut-1908571/
Kids Trekking Sock Wool Mid 3I49174,Kids Trekking Sock Wool Mid 3I49174,790.00ден,,Чорапи за долго пешачење со комресиони зони и задебелувања за заштита од триење,https://www.scout.mk/wp-content/uploads/2022/12/3I49174_M870_A-600x600.png,"['25-27', '28-30', '31-33']","['navy', 'navy', 'navy']",https://www.scout.mk/product/kids-trekking-sock-wool-mid-3i49174/
KING II,KING II,973.00ден,"1,390.00ден",Детски поларен блејзер,https://www.scout.mk/wp-content/uploads/2025/02/RKA147_0LB_P_A-4-600x600.jpg,"['10', '11', '13', '14', '14', '3', '3', '5', '7', '7', '9', '9']","['navy', 'navy', 'navy', 'navy', 'pink', 'violet', 'violet', 'violet', 'violet', 'violet', 'violet', 'violet']",https://www.scout.mk/product/king-ii/
LEVER II,LEVER II,"2,890.00ден",,"Детска спортска јакна, водоотпорна и лесна",https://www.scout.mk/wp-content/uploads/2025/02/RKW164-ZV75-6.jpg,"['10', '11', '11', '12', '13', '13', '13', '5', '5', '6', '7', '7', '8', '9', '9']","['blue', 'blue', 'blue', 'blue', 'blue', 'navy', 'navy', 'navy', 'navy', 'navy', 'red', 'red', 'red', 'red', 'red']",https://www.scout.mk/product/lever-ii/
LOCO,LOCO,"1,390.00ден",,Детска поларна блуза Локо,https://www.scout.mk/wp-content/uploads/2025/02/RKA224-4.jpeg,"['11', '13', '5', '9']","['grey', 'grey', 'grey', 'grey']",https://www.scout.mk/product/loco/
Supplex Canyon Cap Kids 1905901,Supplex Canyon Cap Kids 1905901,"1,390.00ден",,"Капа
Изработена од брзосушечки и лесен материјал со УВ заштита",https://www.scout.mk/wp-content/uploads/2021/05/1905901-1010-9-A260-supplex-canyon-cap-kids-night-blue-1-600x600.png,['m'],['navy'],https://www.scout.mk/product/supplex-canyon-cap-kids-1905901/
TAZ HAT II,Taz Hat II RKC088,790.00ден,,Флис капа,https://www.scout.mk/wp-content/uploads/2022/10/RKC088_540_P_1Product-600x600.jpg,['7-10'],['navy'],https://www.scout.mk/product/taz-hat-ii-rkc088/
TAZ II,Taz II RKG024,"1,090.00ден",,Флис ракавици,https://www.scout.mk/wp-content/uploads/2022/10/RKG024_540_P_1-600x600.jpg,"['11-13', '4-6', '7-10', '7-10']","['navy', 'navy', 'navy', 'pink']",https://www.scout.mk/product/taz-ii-rkg024/
VOLC REFLEC JKT VIII,VolcReflecJktVIII K RKP275,"3,990.00ден",,Јакна,https://www.scout.mk/wp-content/uploads/2024/12/RKP275-M039-.jpg,"['11-12', '13', '5-6', '7-8', '7-8', '9-10', '9-10']","['blue', 'blue', 'blue', 'blue', 'blue', 'sky', 'sky']",https://www.scout.mk/product/volcreflecjktviii-k-rkp275/
