ИМЕ НА МАРКЕТ,НАЗИВ НА ПРОИЗВОД,ПРОДАЖНА ЦЕНА,ЕДИНЕЧНА ЦЕНА,ОПИС НА ПРОИЗВОД,ДОСТАПНОСТ НА ПРОИЗВОД,РЕДОВНА ЦЕНА,ЦЕНА СО ПОПУСТ,ПОЕНИ,ТИП НА АКЦИЈА,ВРЕМЕТРАЊЕ НА АКЦИЈА
vardar,4 ЛУК КУТИЈА ЗА ХРАНА 1Л,115.00,1 ПАРЧЕ =115ДЕН,САД ЗА СКЛАДИРАЊЕ,ДА,159.00,"115.00
-27.67%",,АКЦИСКА ПРОДАЖБА,24.04.2025 - 14.05.2025
vardar,4 ЛУК КУТИЈА ЗА ХРАНА 2.1Л,285.00,1 ПАРЧЕ =285ДЕН,САД ЗА СКЛАДИРАЊЕ,ДА,,,,,
vardar,4 ЛУК КУТИЈА ЗА ХРАНА 500МЛ,119.00,1 ПАРЧЕ =119ДЕН,САД ЗА СКЛАДИРАЊЕ,ДА,,,,,
vardar,4 ЛУК СЕТ КУТИИ ЗА ХРАНА 500МЛ+1000МЛ+1700МЛ,449.00,1 ПАРЧЕ =149.67ДЕН,САД ЗА СКЛАДИРАЊЕ,ДА,,,,,
vardar,41738'23 ВЕЛОСИПЕД ЗА СПАСУВАЊЕ КУЧИЊА,969.00,1 ПАРЧЕ =969ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,,,,,
vardar,42197 ЛЕГО БАГЕР,739.00,1 ПАРЧЕ =739ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,929.00,"739.00
-20.45%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,42640 ЛЕГО ИГРАЛИШТЕ ЗА ЗАМОРЧИЊА,699.00,1 ПАРЧЕ =699ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,879.00,"699.00
-20.48%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,43214'23 ДИЗНИ ПРИНЦЕЗИ,989.00,1 ПАРЧЕ =989ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,,,,,
vardar,43443 СПРЕЈ ЗА ОДВИКНУВАЊЕ НА МИЛЕНИЦИ,499.00,1 ПАРЧЕ =499ДЕН,ПРОИЗВОДИ ЗА ЧИСТЕЊЕ АВТОМОБИЛ,ДА,,,,,
vardar,48 ЗАШТИТНА КРЕМА ЗА ЛИЦЕ И ТЕЛО ТУБА 150МЛ,229.00,100 МЛ: =152.67ДЕН,КРЕМА ЗА ЛИЦЕ,ДА,,,,,
