url,photo_url,brand,title,original_price,current_price,discount
https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-buds-live,https://mobelix.com.mk/storage/app/uploads/public/5f3/ceb/1fb/thumb_2215_550_800_0_0_crop.jpg,Samsung,Galaxy Buds Live,"6,100.00","4,900.00 ден",-20%
https://mobelix.com.mk/mk/proizvodi/huawei-pura-70-ultra-16512gb,https://mobelix.com.mk/storage/app/uploads/public/668/64f/bae/thumb_5555_550_800_0_0_crop.png,Huawei,Huawei Pura 70 Ultra 16/512GB,,"64,600.00 ден",
https://mobelix.com.mk/mk/proizvodi/huawei-p60-pro,https://mobelix.com.mk/storage/app/uploads/public/65b/2ce/c5e/thumb_5225_550_800_0_0_crop.png,Huawei,Huawei P60 Pro,"46,100.00","40,000.00 ден",-13%
https://mobelix.com.mk/mk/proizvodi/one-plus-7t-8gb256gb,https://mobelix.com.mk/storage/app/uploads/public/623/876/e71/thumb_3713_550_800_0_0_crop.png,One Plus,7T 8GB/256GB,"27,700.00","24,600.00 ден",-11%
https://mobelix.com.mk/mk/proizvodi/apple-air-pods-2,https://mobelix.com.mk/storage/app/uploads/public/5d0/4b9/16e/thumb_1840_550_800_0_0_crop.png,Apple,Air Pods 2,"8,000.00","7,390.00 ден",-8%
https://mobelix.com.mk/mk/proizvodi/apple-air-pods-3,https://mobelix.com.mk/storage/app/uploads/public/61f/271/5d6/thumb_3569_550_800_0_0_crop.png,Apple,Air Pods 3,"9,790.00","9,190.00 ден",-6%
https://mobelix.com.mk/mk/proizvodi/apple-air-pods-pro-2,https://mobelix.com.mk/storage/app/uploads/public/634/009/660/thumb_4165_550_800_0_0_crop.png,Apple,Air Pods Pro 2,,"14,200.00 ден",
https://mobelix.com.mk/mk/proizvodi/apple-air-pods-4,https://mobelix.com.mk/storage/app/uploads/public/66f/058/e5a/thumb_5729_550_800_0_0_crop.jpeg,Apple,Air Pods 4,"11,100.00","10,490.00 ден",-5%
https://mobelix.com.mk/mk/proizvodi/apple-air-pods-4nc,https://mobelix.com.mk/storage/app/uploads/public/66f/162/23c/thumb_5744_550_800_0_0_crop.jpg,Apple,Air Pods 4 Active Noise Cancellation,"15,400.00","12,890.00 ден",-16%
https://mobelix.com.mk/mk/proizvodi/nokia-6310,https://mobelix.com.mk/storage/app/uploads/public/61a/0d7/fa1/thumb_3487_550_800_0_0_crop.png,Nokia,6310,"6,100.00","5,000.00 ден",-18%
